,des_spring_k,des_spring_k,des_zeta,des_zeta,max_height,max_height,rollout/ep_len_mean,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/ep_rew_mean,time/fps,time/fps,train/actor_loss,train/actor_loss,train/critic_loss,train/critic_loss,train/learning_rate,train/learning_rate
,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time
8394,7825.36376953125,1647375112.9246113,0.004327128175646067,1647375112.9246807,0.001269509200938046,1647375112.9247131,32.86000061035156,1647375112.9247384,-0.3237183392047882,1647375112.9247613,4361.0,1647375112.924785,,,,,,
8494,6823.48779296875,1647375112.946357,0.008112454786896706,1647375112.9464197,0.0015184482326731086,1647375112.946451,32.66999816894531,1647375112.946476,-0.3226493000984192,1647375112.946499,4363.0,1647375112.9465237,,,,,,
8736,4537.79296875,1647375112.9963925,0.0032270827796310186,1647375112.9964554,0.0008423611288890243,1647375112.9964862,33.900001525878906,1647375112.9965105,-0.32293790578842163,1647375112.9965327,4375.0,1647375112.9965558,,,,,,
8961,5228.677734375,1647375113.0439463,0.0006898088613525033,1647375113.0440202,0.009697052650153637,1647375113.0440748,34.66999816894531,1647375113.0441196,-0.4761757254600525,1647375113.0441468,4384.0,1647375113.0441716,,,,,,
9136,6200.6376953125,1647375113.081474,0.00030496856197714806,1647375113.081544,0.001069107442162931,1647375113.0815763,35.22999954223633,1647375113.0816019,-0.48633959889411926,1647375113.0816448,4388.0,1647375113.0816925,,,,,,
9249,3160.134765625,1647375113.106694,0.0035569972824305296,1647375113.1067624,0.0023947348818182945,1647375113.106795,35.209999084472656,1647375113.1068194,-0.4347589313983917,1647375113.1068592,4390.0,1647375113.1069074,,,,,,
9392,3289.142333984375,1647375113.1379962,0.000552092504221946,1647375113.138057,0.0006383531144820154,1647375113.1380873,34.90999984741211,1647375113.1381154,-0.43566468358039856,1647375113.1381695,4392.0,1647375113.138219,,,,,,
9471,9336.228515625,1647375113.1564531,0.006650760304182768,1647375113.1565015,0.0077609107829630375,1647375113.1565309,34.189998626708984,1647375113.156575,-0.44100823998451233,1647375113.1566234,4391.0,1647375113.1566727,,,,,,
9574,7105.787109375,1647375113.1812236,0.004811048973351717,1647375113.1812756,0.00043149926932528615,1647375113.1813054,34.40999984741211,1647375113.1813293,-0.4412077069282532,1647375113.181352,4389.0,1647375113.1813848,,,,,,
9681,7324.4140625,1647375113.204168,0.001719225780107081,1647375113.2042246,0.00029550984618254006,1647375113.2042532,34.16999816894531,1647375113.2042775,-0.43732401728630066,1647375113.2042997,4391.0,1647375113.2043233,,,,,,
9774,6944.63818359375,1647375113.2246206,0.00151435739826411,1647375113.2246704,0.0020414278842508793,1647375113.2246985,34.22999954223633,1647375113.2247221,-0.43745800852775574,1647375113.2247438,4393.0,1647375113.2247667,,,,,,
9945,5364.7578125,1647375113.2737288,0.0005153716774657369,1647375113.273788,0.0015157031593844295,1647375113.273817,34.970001220703125,1647375113.2738411,-0.4335278570652008,1647375113.2738638,4373.0,1647375113.2738874,,,,,,
10091,9191.3671875,1647375113.309287,0.0018459998536854982,1647375113.3093386,0.007348358165472746,1647375113.3093677,35.20000076293945,1647375113.3093913,-7.267787456512451,1647375113.3094134,4369.0,1647375113.309437,,,,,,
10199,3091.691650390625,1647375113.3322835,0.005952626932412386,1647375113.3323324,0.00246191443875432,1647375113.3323605,34.560001373291016,1647375113.3323843,-7.267568111419678,1647375113.3324068,4372.0,1647375113.3324301,,,,,,
10311,7273.77294921875,1647375113.3620627,0.008068850263953209,1647375113.3621163,0.0032561738044023514,1647375113.362146,34.220001220703125,1647375113.3621705,-7.2675299644470215,1647375113.3621974,4365.0,1647375113.3622456,,,,,,
10479,6742.30029296875,1647375113.3983104,0.005758949089795351,1647375113.3983836,0.0013247315073385835,1647375113.3984168,34.81999969482422,1647375113.3984442,-7.265304088592529,1647375113.3984892,4369.0,1647375113.398548,,,,,,
