,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel,Time,Reward,Input,RodPos,RodVel,ActPos,ActVel
31,0.31,0.08081697043946828,0.0,0.08081697043946828,0.22096433858242584,0.0,-0.4000011157989501,0.31,0.05611834051291557,-10.0,0.05611834051291557,0.901755037216947,0.0025861040115356462,-0.28046319961547844,0.31,0.05078570190183204,-10.0,0.05078570190183204,0.9320728185766703,0.005652173614501952,-0.1673913192749024,0.31,0.03515282708900231,-10.0,0.03515282708900231,0.9535201662099904,0.005229200172424316,-0.1885399913787842,0.31,0.04031812555146224,-10.0,0.04031812555146224,0.7599120728315747,0.0016801689147949227,-0.30799577713012694
32,0.32,0.08204561382529255,0.0,0.08204561382529255,0.12286433858242586,0.0,-0.4000011157989501,0.32,0.06500633400902392,-10.0,0.06500633400902392,0.8887993496108348,0.0,-0.3804631996154785,0.32,0.05997687321153762,-10.0,0.05997687321153762,0.9191171309705584,0.002978260421752928,-0.2673913192749024,0.32,0.04455847187504109,-10.0,0.04455847187504109,0.9405644786038783,0.0023438002586364734,-0.2885399913787842,0.32,0.047787689403716874,-10.0,0.047787689403716874,0.7469563852254627,0.0,-0.40799577713012686
33,0.33,0.0822932572111168,0.0,0.0822932572111168,0.02476433858242585,0.0,-0.4000011157989501,0.33,0.07291332750513227,0.0,0.07291332750513227,0.7906993496108349,0.0,-0.3804631996154785,0.33,0.06903848764518208,-10.0,0.06903848764518208,0.9061614433644464,0.0,-0.3673913192749024,0.33,0.05383455978501874,-10.0,0.05383455978501874,0.927608790997766,0.0,-0.38853999137878426,0.33,0.05427625325597149,0.0,0.05427625325597149,0.6488563852254625,0.0,-0.40799577713012686
34,0.34,0.08155990059694106,0.0,0.08155990059694106,-0.07333566141757414,0.0,-0.4000011157989501,0.34,0.07983932100124062,0.0,0.07983932100124062,0.692599349610835,0.0,-0.3804631996154785,0.34,0.07711910207882654,0.0,0.07711910207882654,0.8080614433644464,0.0,-0.3673913192749024,0.34,0.06212964769499641,0.0,0.06212964769499641,0.8295087909977662,0.0,-0.38853999137878426,0.34,0.05978381710822612,0.0,0.05978381710822612,0.5507563852254627,0.0,-0.40799577713012686
35,0.35000000000000003,0.07984554398276532,0.0,0.07984554398276532,-0.17143566141757416,0.0,-0.4000011157989501,0.35000000000000003,0.08578431449734895,0.0,0.08578431449734895,0.5944993496108352,0.0,-0.3804631996154785,0.35000000000000003,0.08421871651247102,0.0,0.08421871651247102,0.7099614433644464,0.0,-0.3673913192749024,0.35000000000000003,0.06944373560497408,0.0,0.06944373560497408,0.7314087909977662,0.0,-0.38853999137878426,0.35000000000000003,0.06431038096048075,0.0,0.06431038096048075,0.4526563852254626,0.0,-0.40799577713012686
36,0.36,0.07715018736858957,0.0,0.07715018736858957,-0.2695356614175742,0.0,-0.4000011157989501,0.36,0.09074830799345732,0.0,0.09074830799345732,0.49639934961083504,0.0,-0.3804631996154785,0.36,0.09033733094611548,0.0,0.09033733094611548,0.6118614433644465,0.0,-0.3673913192749024,0.36,0.07577682351495174,0.0,0.07577682351495174,0.6333087909977663,0.0,-0.38853999137878426,0.36,0.06785594481273538,0.0,0.06785594481273538,0.3545563852254626,0.0,-0.40799577713012686
37,0.37,0.07347383075441383,0.0,0.07347383075441383,-0.36763566141757414,0.0,-0.4000011157989501,0.37,0.09473130148956568,0.0,0.09473130148956568,0.398299349610835,0.0,-0.3804631996154785,0.37,0.09547494537975992,0.0,0.09547494537975992,0.5137614433644465,0.0,-0.3673913192749024,0.37,0.08112891142492942,0.0,0.08112891142492942,0.5352087909977663,0.0,-0.38853999137878426,0.37,0.07042050866499,0.0,0.07042050866499,0.2564563852254626,0.0,-0.40799577713012686
38,0.38,0.06881647414023809,0.0,0.06881647414023809,-0.4657356614175742,0.0,-0.4000011157989501,0.38,0.097733294985674,0.0,0.097733294985674,0.30019934961083494,0.0,-0.3804631996154785,0.38,0.0996315598134044,0.0,0.0996315598134044,0.4156614433644465,0.0,-0.3673913192749024,0.38,0.08549999933490705,0.0,0.08549999933490705,0.43710879099776634,0.0,-0.38853999137878426,0.38,0.07200407251724462,0.0,0.07200407251724462,0.15835638522546258,0.0,-0.40799577713012686
39,0.39,0.06317811752606234,0.0,0.06317811752606234,-0.5638356614175742,0.0,-0.4000011157989501,0.39,0.09975428848178237,0.0,0.09975428848178237,0.20209934961083495,0.0,-0.3804631996154785,0.39,0.10280717424704885,0.0,0.10280717424704885,0.31756144336444647,0.0,-0.3673913192749024,0.39,0.08889008724488473,0.0,0.08889008724488473,0.33900879099776626,0.0,-0.38853999137878426,0.39,0.07260663636949925,0.0,0.07260663636949925,0.060256385225462575,0.0,-0.40799577713012686
40,0.4,0.056558760911886594,0.0,0.056558760911886594,-0.6619356614175742,0.0,-0.4000011157989501,0.4,0.10079428197789073,0.0,0.10079428197789073,0.10399934961083496,0.0,-0.3804631996154785,0.4,0.10500178868069332,0.0,0.10500178868069332,0.21946144336444645,0.0,-0.3673913192749024,0.4,0.0912991751548624,0.0,0.0912991751548624,0.24090879099776624,0.0,-0.38853999137878426,0.4,0.07222820022175389,0.0,0.07222820022175389,-0.03784361477453743,0.0,-0.40799577713012686
41,0.41,0.048958404297710846,0.0,0.048958404297710846,-0.7600356614175741,0.0,-0.4000011157989501,0.41,0.10085327547399905,0.0,0.10085327547399905,0.005899349610834964,0.0,-0.3804631996154785,0.41,0.1062154031143378,0.0,0.1062154031143378,0.12136144336444644,0.0,-0.3673913192749024,0.41,0.09272726306484003,0.0,0.09272726306484003,0.14280879099776622,0.0,-0.38853999137878426,0.41,0.07086876407400851,0.0,0.07086876407400851,-0.13594361477453742,0.0,-0.40799577713012686
